Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,IMDb_Link
#Gadhvi (He thought he was Gandhi),2019,109,Drama,7.0,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,https://www.imdb.com/find?q=#Gadhvi%20(He%20thought%20he%20was%20Gandhi)
#Yaaram,2019,110,"Comedy, Romance",4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,https://www.imdb.com/find?q=#Yaaram
...Aur Pyaar Ho Gaya,1997,147,"Comedy, Drama, Musical",4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,https://www.imdb.com/find?q=...Aur%20Pyaar%20Ho%20Gaya
...Yahaan,2005,142,"Drama, Romance, War",7.4,1086,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,https://www.imdb.com/find?q=...Yahaan
?: A Question Mark,2012,82,"Horror, Mystery, Thriller",5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,https://www.imdb.com/find?q=?:%20A%20Question%20Mark
@Andheri,2014,116,"Action, Crime, Thriller",4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,https://www.imdb.com/find?q=@Andheri
1:1.6 An Ode to Lost Love,2004,96,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,https://www.imdb.com/find?q=1:1.6%20An%20Ode%20to%20Lost%20Love
1:13:7 Ek Tera Saath,2016,120,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,https://www.imdb.com/find?q=1:13:7%20Ek%20Tera%20Saath
100 Days,1991,161,"Horror, Romance, Thriller",6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,https://www.imdb.com/find?q=100%20Days
100% Love,2012,166,"Comedy, Drama, Romance",5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,https://www.imdb.com/find?q=100%%20Love
102 Not Out,2018,102,"Comedy, Drama",7.4,6619,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,https://www.imdb.com/find?q=102%20Not%20Out
10ml LOVE,2010,87,"Comedy, Drama, Romance",6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,https://www.imdb.com/find?q=10ml%20LOVE
12 O'Clock,1958,132,"Crime, Drama, Mystery",7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,https://www.imdb.com/find?q=12%20O'Clock
12 O'Clock,2021,105,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,https://www.imdb.com/find?q=12%20O'Clock
127 B,2017,116,"Comedy, Horror",6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,https://www.imdb.com/find?q=127%20B
13B: Fear Has a New Address,2009,146,"Drama, Horror, Mystery",7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,https://www.imdb.com/find?q=13B:%20Fear%20Has%20a%20New%20Address
15 Park Avenue,2005,116,Drama,7.1,1002,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,https://www.imdb.com/find?q=15%20Park%20Avenue
15th August,1993,168,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,https://www.imdb.com/find?q=15th%20August
16-Dec,2002,158,"Action, Thriller",6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,https://www.imdb.com/find?q=16-Dec
18.11,2014,126,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,https://www.imdb.com/find?q=18.11
19 Revolutions,2004,94,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,https://www.imdb.com/find?q=19%20Revolutions
1920,2008,138,"Horror, Mystery, Romance",6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,https://www.imdb.com/find?q=1920
1920 London,2016,120,"Horror, Mystery",4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,https://www.imdb.com/find?q=1920%20London
1920: Evil Returns,2012,124,"Drama, Horror, Romance",4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,https://www.imdb.com/find?q=1920:%20Evil%20Returns
1921,2018,144,"Horror, Mystery, Romance",4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,https://www.imdb.com/find?q=1921
1942: A Love Story,1994,157,"Action, Drama, History",7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,https://www.imdb.com/find?q=1942:%20A%20Love%20Story
1971,2007,136,"Action, Drama, War",8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,https://www.imdb.com/find?q=1971
1978: A Teen Night Out,2019,107,Thriller,4.0,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam,https://www.imdb.com/find?q=1978:%20A%20Teen%20Night%20Out
